Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”,Name: “Table 1 of 1 on page 13 of 29”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,,,,,,,,,,,,,
,,,,,,TRAFFIC CRASHES,TRAFFIC CRASHES,TRAFFIC CRASHES,TRAFFIC CRASHES,TRAFFIC CRASHES,TRAFFIC CRASHES,,,,,,,,,
,,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,HAMPTON ROADS CRASHES – DAY OF WEEK,,,,,,
"Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004","Hampton Roads Traffic Crashes by Day of Week, 2002-2004",Hampton Roads:,Hampton Roads:,Hampton Roads:,Hampton Roads:,Hampton Roads:,Friday had a,Friday had a,Friday had a,Friday had a
,,,,,,,,,,,,higher,higher,percentage,percentage,percentage,,of,crashes,crashes
,,,,,,,,,,,,(17.9%),(17.9%),than,than,any,other,other,day,of
Monday,Monday,,,,,,14.2%,14.2%,,,,the,week,,in,Hampton,Hampton,Hampton,Roads,Roads
,,,,,,,,,,,,between,between,,2002,,and,and,2004.,2004.
Tuesday,Tuesday,,,,,,14.4%,14.4%,,,,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each,Monday through Thursday each
,,,,,,,,,,,,had,a,similar,similar,,number,number,number,of
Wednesday,Wednesday,,,,,,14.8%,14.8%,,,,"crashes,","crashes,",and,and,each,each,,weekday,weekday
,,,,,,,,,,,,had,a,higher,higher,percentage,percentage,percentage,percentage,of
,,,,,,,,,,,,crashes,crashes,than,than,Saturday,Saturday,Saturday,,and
Thursday,Thursday,,,,,,14.9%,14.9%,,,,Sunday.,Sunday.,,,,,,,
Friday,Friday,,,,,,,,17.9%,17.9%,,,,,,,,,,
,,,,,,,,,,,,Statewide:,Statewide:,Statewide:,Friday was also the,Friday was also the,Friday was also the,Friday was also the,Friday was also the,Friday was also the
Saturday,Saturday,,,,,13.3%,13.3%,,,,,day,with,,the,most,most,,crashes,crashes
,,,,,,,,,,,,statewide,statewide,,(17.5%),(17.5%),(17.5%),,between,between
Sunday,Sunday,,,,10.5%,,,,,,,2002 and 2004.,2002 and 2004.,2002 and 2004.,2002 and 2004.,,,,,
,0.0%,2.0%,4.0%,6.0%,8.0%,10.0%,12.0%,14.0%,16.0%,18.0%,20.0%,,,,,,,,,
,,,"Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004","Percent of Total Traffic Crashes, 2002 - 2004",,,,,,,,,,,
Data source:,Data source:,VDOT.,VDOT.,,,,,,,,,,,,,,,,,
,,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,HAMPTON ROADS CRASHES – MONTH OF YEAR,,,,,
