Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”,Name: “Table 1 of 1 on page 58 of 138”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,53
"Transportation Related Census Data, Franklin, 1970-2010","Transportation Related Census Data, Franklin, 1970-2010","Transportation Related Census Data, Franklin, 1970-2010","Transportation Related Census Data, Franklin, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Franklin,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"6,880","7,308","7,864","8,346","8,582",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,0.6%,0.7%,0.6%,0.3%,,
In Households,,Full,"6,846","7,254","7,737","8,072","8,453",,
In Group Quarters,,Full,34,54,127,274,129,,
,,,"6,880","7,308","7,864","8,346","8,582",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,0,0,127,274,116,,
,In Other Institutional Facilities,Mixed,0,45,0,0,2,,
,In College/University Student Housing,Mixed,0,0,0,0,0,,
,In Military Quarters,Mixed,0,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,30,0,0,0,11,,
,Total 2,,30,45,127,274,129,,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,0,0,2,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,0,0,,
,,,,,0,0,2,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"2,436","2,119","2,105","2,099","2,046",,
Ages 18 thru 64,,Full,"3,852","4,253","4,506","4,711","5,056",,
Ages 65 thru 74,,Full,396,621,710,718,737,,
Age 75 and Over,,Full,196,315,543,818,743,,
,,,"6,880","7,308","7,864","8,346","8,582",,
Ages 0 thru 17,,Full,35%,29%,27%,25%,24%,,
Ages 18 thru 64,,Full,56%,58%,57%,56%,59%,,
Ages 65 thru 74,,Full,6%,8%,9%,9%,9%,,
Age 75 and Over,,Full,3%,4%,7%,10%,9%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
