Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”,Name: “Table 1 of 1 on page 14 of 55”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,,,,,,,,
,,,,,,Project Scenario 1,Project Scenario 1,Project Scenario 1,,,,,Project Scenario 2,Project Scenario 2,Project Scenario 2,,
,,,,,AM Peak,AM,AM,PM Peak Hour,PM,,,AM Peak,AM,AM,PM Peak Hour,PM,
,,,,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak
,,,,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour
Planning,,,,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS
Analysis,,Segments,,ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS),ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS)
,A,Hampton Roads Beltway (17 Segments),Hampton Roads Beltway (17 Segments),,,,,,,,,,,,,,
Freeway,A1,"I-64, I-664 to Armistead Ave",,"115,500",,,,29.2,"10,400",D,"85,400",,,,20.7,"7,700",C
Freeway,A2,"I-64, Armistead Ave to Hampton Roads Bridge Tunnel","I-64, Armistead Ave to Hampton Roads Bridge Tunnel","90,700",,,,21.7,"8,200",C,"58,100",,,,13.9,"5,200",B
