Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”,Name: “Table 1 of 1 on page 21 of 23”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,
Appendix A – Actions Data,,,,,,
,,,,Fiscal Year,,
Activity/Statistic,Time Frame,2007,2008,2009,2010,2011
Outreach,,,,,,
# of new businesses visited,,197,257,458,423,885
,during fiscal year,,,,,
# of businesses revisited,,34,97,110,214,245
,(July 1st-June 30th),,,,,
# of military commands visited,,10,27,54,88,105
Park & Ride,,,,,,
# of lots owned by HRT,,N/A,N/A,N/A,N/A,4
# of parking spaces owned by HRT,,N/A,N/A,N/A,N/A,779
# of lots leased by HRT,as of June 30th,N/A,N/A,N/A,N/A,1
# of parking spaces leased by HRT,,N/A,N/A,N/A,N/A,216
Total # of lots in Hampton Roads (all owners),,N/A,N/A,N/A,N/A,20
Park & Sail,,,,,,
Assigned Parking Spaces,as of June 30th,N/A,103,84,79,57
TRAFFIX Annual Report 2012,,,,,,15
