,,,,,,,SPEED DATA,,<- HRPDC TRAVEL TIME COLLECTION DATA ->,,,,INRIX DATA ->,,,,TRAVEL TIME RELIABILITY DATA,,,
JURIS NAME,MPA?,ROUTE #,FACILITY NAME,SEGMENT FROM,SEGMENT TO,DIR,1995 AM SPEED,1995 PM SPEED,2000 AM SPEED,2000 PM SPEED,2005 AM SPEED,2005 PM SPEED,2012 SLOWEST AM  SPEED,2012 HIGHEST AM  TTI,2012 SLOWEST PM  SPEED,2012 HIGHEST PM  TTI,2012 HIGHEST AM BUF INDEX,2012 HIGHEST AM PTI,2012 HIGHEST PM BUF INDEX,2012 HIGHEST PM PTI
CHES,Y,0064,I-64,CITY LINE RD/VA BEACH CL,GREENBRIER PKWY,EB,55.0,55.0,55.0,39.6,57.9,55.8,62,0.99,61,1.00,0.07,1.05,0.59,1.59
CHES,Y,,,,,WB,52.1,49.5,55.0,55.0,56.4,56.5,57,1.08,61,1.01,0.86,1.94,0.43,1.43
CHES,Y,0064,I-64,GREENBRIER PKWY,BATTLEFIELD BLVD,EB,55.0,55.0,55.0,55.0,56.5,54.0,62,0.99,54,1.18,0.11,1.10,3.16,4.82
CHES,Y,,,,,WB,55.0,55.0,55.0,52.0,56.7,56.0,63,1.00,64,0.99,0.25,1.26,0.26,1.25
CHES,Y,0064,I-64,BATTLEFIELD BLVD,I-464,EB,55.0,55.0,55.0,49.8,57.3,54.7,61,1.00,36,1.89,0.49,1.49,3.07,6.52
CHES,Y,,,,,WB,55.0,55.0,55.0,55.0,50.5,54.5,62,0.99,63,0.98,0.08,1.07,0.08,1.07
CHES,Y,0064,I-64,I-464,GEORGE WASHINGTON HWY,EB,55.0,55.0,55.0,55.0,55.2,52.4,61,0.98,51,1.23,0.20,1.19,0.92,2.31
CHES,Y,,,,,WB,55.0,55.0,55.0,55.0,48.9,51.8,58,1.05,58,1.05,0.42,1.48,0.68,1.79
CHES,Y,0064,I-64,GEORGE WASHINGTON HWY,MILITARY HWY,EB,55.0,55.0,55.0,53.0,55.9,58.5,63,0.97,59,1.05,0.07,1.04,1.38,2.44
CHES,Y,,,,,WB,55.0,55.0,55.0,55.0,21.8,51.3,37,1.73,49,1.28,2.13,4.81,1.77,3.62
CHES,Y,0064,I-64,MILITARY HWY,I-264&664,EB,55.0,39.6,55.0,55.0,56.5,55.1,62,0.98,57,1.09,0.07,1.06,1.26,2.38
CHES,Y,,,,,WB,55.0,55.0,55.0,55.0,43.1,57.8,50,1.26,54,1.16,2.34,4.09,2.09,3.70
CHES,Y,0264,I-264,I-64&664,WCL PORTSMOUTH,EB,55.0,55.0,55.0,55.0,58.1,57.3,61,0.99,61,1.00,0.08,1.07,0.14,1.14
CHES,Y,,,,,WB,55.0,55.0,55.0,55.0,57.3,58.1,61,0.99,60,1.00,0.07,1.06,0.42,1.42
CHES,Y,0464,I-464,I-64,MILITARY HWY,NB,55.0,55.0,55.0,55.0,60.5,59.9,56,1.06,57,1.03,0.24,1.33,0.11,1.13
CHES,Y,,,,,SB,55.0,55.0,55.0,53.6,58.3,58.5,58,1.06,60,1.03,0.29,1.37,0.39,1.43
CHES,Y,0464,I-464,MILITARY HWY,FREEMAN AVE,NB,55.0,55.0,55.0,55.0,62.7,59.4,63,1.01,62,1.02,0.10,1.11,0.12,1.15
CHES,Y,,,,,SB,55.0,55.0,55.0,53.7,59.3,60.7,59,1.02,62,0.98,0.13,1.16,0.29,1.26
CHES,Y,0464,I-464,FREEMAN AVE,POINDEXTER ST,NB,55.0,55.0,55.0,55.0,62.0,60.3,62,1.03,62,1.02,0.40,1.45,0.14,1.17
CHES,Y,,,,,SB,55.0,55.0,55.0,53.5,61.6,62.5,60,1.05,63,1.01,0.09,1.15,0.10,1.11
CHES,Y,0464,I-464,POINDEXTER ST,NORFOLK CL,NB,55.0,55.0,55.0,55.0,54.4,56.5,48,1.30,58,1.07,1.95,3.82,0.42,1.52
CHES,Y,,,,,SB,55.0,55.0,55.0,51.0,61.7,61.1,59,1.05,61,1.01,0.11,1.16,0.09,1.10
CHES,Y,0664,I-664,I-64 & I-264,ROUTES 13/58/460,EB,55.0,55.0,55.0,55.0,58.4,59.1,62,0.99,55,1.14,0.11,1.10,1.07,2.28
CHES,Y,,,,,WB,55.0,39.6,53.7,55.0,56.3,29.5,61,0.99,61,0.99,0.12,1.11,0.40,1.39
CHES,Y,0664,I-664,ROUTES 13/58/460,DOCK LANDING RD,EB,55.0,55.0,55.0,55.0,60.1,58.7,63,0.99,59,1.06,0.15,1.14,0.37,1.39
CHES,Y,,,,,WB,55.0,55.0,53.9,55.0,58.1,38.9,60,1.03,61,1.01,0.27,1.31,0.36,1.36
